ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Mark Zuckerberg                          The Social Network                 -16.47
2     Haymitch Abernathy                       The Hunger Games                    15.66
3     Parker                                   Alien                               14.04
4     Peter Burke                              White Collar                        13.76
5     Jessie                                   Pokémon                             13.24
6     Ed                                       Cowboy Bebop                        12.95
7     FP Jones                                 Riverdale                           12.28
8     Donald Cragen                            Law & Order: SVU                   -11.68
9     Rachel Zane                              Suits                               11.50
10    Howard Hamlin                            Better Call Saul                    11.35
11    Oliver Queen                             Arrow                               11.29
12    Nancy Wheeler                            Stranger Things                     11.02
13    Sean Parker                              The Social Network                 -10.81
14    Veronica Fisher                          Shameless                           10.72
15    Matt Hooper                              Jaws                                10.67
16    Elliot Reid                              Scrubs                              10.66
17    Zoe Washburne                            Firefly + Serenity                  10.43
18    Gus Fring                                Breaking Bad                        10.38
19    Pamela Poovey                            Archer                              10.31
20    Maxwell Klinger                          M*A*S*H                              9.96
21    Dr. Jennifer Melfi                       The Sopranos                         9.91
22    Sebastian                                Twelfth Night                        9.61
23    Sid Phillips                             Toy Story                            9.44
24    Sakura Haruno                            Naruto                              -9.34
25    Lionel Luthor                            Smallville                           9.02
26    Quark                                    Star Trek: Deep Space Nine           8.77
27    Radar O'Reilly                           M*A*S*H                              8.55
28    Maurice Levy                             The Wire                             8.54
29    Teddy Flood                              Westworld                            8.50
30    Karen Vick                               Psych                               -8.42
31    Caleb Smith                              Ex Machina                           8.39
32    Walter Skinner                           The X-Files                          8.32
33    Professor Oak                            Pokémon                              8.24
34    Evan                                     Superbad                             8.19
35    Li Shang                                 Mulan                               -8.10
36    Erin Naird                               Space Force                          8.06
37    Ava                                      Ex Machina                           7.87
38    Harry Morgan                             Dexter                               7.86
39    Kathy Selden                             Singin' in the Rain                  7.74
40    James Doakes                             Dexter                               7.60
41    Cheryl Tunt                              Archer                               7.49
42    Dr. Lisa Cuddy                           House, M.D.                          7.48
43    Cedric Daniels                           The Wire                             7.31
44    Rene Ramirez                             Arrow                                7.26
45    Tom Hagen                                The Godfather                       -7.23
46    Rusty Ryan                               Ocean's 11                           7.19
47    Jerry Seinfeld                           Seinfeld                             7.09
48    Claire Dearing                           Jurassic World                       7.02
49    Luke Dunphy                              Modern Family                        7.00
50    Dr. Ian Malcolm                          Jurassic Park                        6.77
51    Barbara Kean                             Gotham                               6.63
52    Shirley Bennett                          Community                            6.59
53    Louis Litt                               Suits                                6.57
54    Rita Bennett                             Dexter                               6.53
55    Nairobi                                  Money Heist                          6.31
56    Hermione Lodge                           Riverdale                            6.22
57    Riff                                     West Side Story                      6.14
58    Norman Wilson                            The Wire                             6.08
59    Rex                                      Toy Story                            5.85
60    Squidward Tentacles                      SpongeBob SquarePants                5.80
61    Dean Winchester                          Supernatural                         5.70
62    Raymond Holt                             Brooklyn Nine-Nine                   5.54
63    Dr. Hannibal Lecter                      Hannibal                            -5.50
64    Rita Skeeter                             Harry Potter                         5.41
65    Claire                                   Fleabag                              5.22
66    Andy Bernard                             The Office                           5.14
67    Maeve Millay                             Westworld                            5.11
68    Peter Gregory                            Silicon Valley                       5.10
69    Officer Slater                           Superbad                             5.04
70    Bernard Lowe                             Westworld                            5.01
71    Diane Lockhart                           The Good Wife                        4.96
72    Konstantin                               Killing Eve                          4.91
73    Marshall Eriksen                         How I Met Your Mother                4.81
74    Prof. Farnsworth                         Futurama                             4.77
75    Clinton Jones                            White Collar                         4.67
76    Janice Soprano                           The Sopranos                        -4.62
77    Audrey Horne                             Twin Peaks                           4.57
78    Arturo Roman                             Money Heist                          4.57
79    Alan Shore                               Boston Legal                        -4.53
80    Misty                                    Pokémon                              4.52
81    Dom Cobb                                 Inception                            4.41
82    Monica Dutton                            Yellowstone                         -4.27
